ciclo_academico,region,porcentaje_de_beca,formas_de_pago,edad,porcentaje_de_discapacidades,numero_discapacidades,numero_reprobaciones,aab1_nota,acdb1_nota,apeb1_nota,aab2_nota,acdb2_nota,apeb2_nota,final_nota,tasa_aprobacion,Sexo,Tipo_de_est_programa,Tipo_de_ingreso,Estatus_curso,Discapacidad,Status,Tipo_de_pago,Descripcion_beca,Descripcion_descuento,Convenios_contratos,Formas_pago,Tipo_discapacidad,Curso
1,0,0.0,3,28.0,0,0,2,2.63,3.4,1.05,0.68,0.0,1.73,4.75,0.33,2,1,3,0,0,1,1,1,0,1,3,4,45
6,0,100.0,1,27.0,0,0,0,3.13,3.5,1.5,2.63,3.5,2.5,8.38,0.83,0,0,0,0,0,0,2,0,0,1,1,4,8
6,0,100.0,1,27.0,0,0,0,2.81,3.0,2.45,3.11,2.83,2.61,8.41,1.0,0,0,0,0,0,0,2,0,0,1,1,4,24
6,0,100.0,1,27.0,0,0,1,2.9,1.5,2.2,2.94,3.2,2.4,7.57,0.83,0,0,0,0,0,0,2,0,0,1,1,4,51
6,0,100.0,1,27.0,0,0,0,3.0,3.5,3.0,3.13,2.77,2.0,8.7,0.83,0,0,0,0,0,0,2,0,0,1,1,4,25
6,0,100.0,1,27.0,0,0,0,3.28,3.3,2.93,3.31,3.4,3.0,9.61,1.0,0,0,0,0,0,0,2,0,0,1,1,4,26
6,0,100.0,1,27.0,0,0,0,3.19,3.5,1.5,3.19,3.5,2.85,8.87,0.83,0,0,0,0,0,0,2,0,0,1,1,4,27
6,0,100.0,1,27.0,0,0,0,3.2,3.13,2.75,3.2,3.3,3.0,9.29,1.0,0,0,0,0,0,0,2,0,0,1,1,4,29
7,0,100.0,1,27.0,0,0,0,3.31,3.5,2.6,2.63,3.45,2.5,9.0,1.0,0,0,0,0,0,0,2,0,0,1,1,4,9
7,0,100.0,1,27.0,0,0,0,2.81,2.65,2.15,2.88,3.2,2.25,7.97,1.0,0,0,0,0,0,0,2,0,0,1,1,4,1
7,0,100.0,1,27.0,0,0,0,3.0,3.15,1.3,3.48,3.5,0.0,7.22,0.67,0,0,0,0,0,0,2,0,0,1,1,4,30
7,0,100.0,1,27.0,0,0,0,3.42,3.5,3.0,3.32,1.5,3.0,8.87,0.83,0,0,0,0,0,0,2,0,0,1,1,4,31
7,0,100.0,1,27.0,0,0,0,3.19,2.0,3.0,3.31,2.0,3.0,8.25,0.67,0,0,0,0,0,0,2,0,0,1,1,4,33
3,0,100.0,1,27.0,0,0,0,3.34,3.5,3.0,3.44,3.5,3.0,9.9,1.0,0,0,0,0,0,0,2,0,0,1,1,4,15
3,0,100.0,1,27.0,0,0,0,3.44,3.1,3.0,3.38,3.1,2.0,9.0,0.83,0,0,0,0,0,0,2,0,0,1,1,4,18
3,0,100.0,1,27.0,0,0,0,3.19,3.5,2.1,3.25,3.5,3.0,9.3,1.0,0,0,0,0,0,0,2,0,0,1,1,4,19
3,0,100.0,1,27.0,0,0,0,3.43,3.5,2.8,3.5,3.5,1.3,9.0,0.83,0,0,0,0,0,0,2,0,0,1,1,4,17
4,0,100.0,1,27.0,0,0,0,2.63,-1.0,0.98,1.0,-1.0,-1.0,7.1,0.17,0,0,0,0,0,0,2,0,0,1,1,4,6
4,0,100.0,1,27.0,0,0,0,3.13,-1.0,2.75,0.75,-1.0,-1.0,7.4,0.33,0,0,0,0,0,0,2,0,0,1,1,4,21
4,0,100.0,1,27.0,0,0,1,3.14,-1.0,1.05,1.0,-1.0,-1.0,6.9,0.17,0,0,0,0,0,1,2,0,0,1,1,4,5
4,0,100.0,1,27.0,0,0,0,3.25,-1.0,2.93,0.97,-1.0,-1.0,8.5,0.33,0,0,0,0,0,0,2,0,0,1,1,4,20
5,0,100.0,1,27.0,0,0,0,2.63,3.35,1.5,2.95,3.28,0.0,7.13,0.67,0,0,0,0,0,0,2,0,0,1,1,4,22
5,0,100.0,1,27.0,0,0,1,3.24,3.1,1.6,2.29,3.5,-1.0,6.03,0.5,0,0,0,0,0,1,2,0,0,1,1,4,51
5,0,100.0,1,27.0,0,0,0,3.17,2.94,1.5,2.83,2.95,1.79,7.59,0.67,0,0,0,0,0,0,2,0,0,1,1,4,7
5,0,100.0,1,27.0,0,0,0,3.06,3.1,3.0,3.0,3.5,2.8,9.23,1.0,0,0,0,0,0,0,2,0,0,1,1,4,23
1,0,0.0,3,35.0,0,0,0,2.66,-1.0,3.5,0.85,-1.0,-1.0,8.8,0.33,0,1,6,0,0,0,1,0,0,1,3,4,40
1,0,0.0,3,35.0,0,0,0,3.0,-1.0,3.5,1.0,-1.0,-1.0,9.7,0.33,0,1,6,0,0,0,1,0,0,1,3,4,2
1,0,0.0,3,35.0,0,0,0,2.5,-1.0,3.5,0.93,-1.0,-1.0,9.3,0.33,0,1,6,0,0,0,1,0,0,1,3,4,3
1,0,0.0,3,35.0,0,0,0,3.06,-1.0,3.5,0.93,-1.0,-1.0,9.3,0.33,0,1,6,0,0,0,1,0,0,1,3,4,11
1,0,0.0,3,35.0,0,0,0,3.19,-1.0,3.4,1.0,-1.0,-1.0,8.9,0.33,0,1,6,0,0,0,1,0,0,1,3,4,49
1,0,0.0,3,35.0,0,0,0,2.66,-1.0,3.29,0.89,-1.0,-1.0,8.7,0.33,0,1,6,0,0,0,1,0,0,1,3,4,45
2,0,8.0,3,35.0,0,0,0,3.36,3.5,3.0,3.44,3.5,1.5,9.15,0.83,0,0,6,0,0,0,1,0,0,1,3,4,12
2,0,8.0,3,35.0,0,0,0,2.85,3.5,2.4,2.7,3.43,3.0,8.94,1.0,0,0,6,0,0,0,1,0,0,1,3,4,47
2,0,8.0,3,35.0,0,0,0,1.87,3.1,2.43,2.75,1.5,3.0,7.33,0.67,0,0,6,0,0,0,1,0,0,1,3,4,13
2,0,8.0,3,35.0,0,0,0,2.93,1.5,2.6,2.9,3.2,1.5,7.32,0.67,0,0,6,0,0,0,1,0,0,1,3,4,14
2,0,8.0,3,35.0,0,0,0,3.35,2.83,2.78,3.32,1.28,2.64,8.1,0.83,0,0,6,0,0,0,1,0,0,1,3,4,50
2,0,8.0,3,35.0,0,0,0,2.69,3.4,2.86,3.44,3.5,3.0,9.45,1.0,0,0,6,0,0,0,1,0,0,1,3,4,46
8,0,0.0,3,30.0,0,0,0,2.33,2.68,2.25,2.47,2.15,3.0,7.44,0.67,0,0,0,0,0,0,1,1,0,1,3,4,9
8,0,0.0,3,30.0,0,0,0,2.45,2.9,3.0,2.84,3.2,3.0,8.7,1.0,0,0,0,0,0,0,1,1,0,1,3,4,42
8,0,0.0,3,30.0,0,0,0,3.33,2.3,2.55,2.9,3.5,2.9,8.74,0.83,0,0,0,0,0,0,1,1,0,1,3,4,4
8,0,0.0,3,30.0,0,0,0,2.42,2.35,2.45,2.83,3.3,2.5,7.93,0.67,0,0,0,0,0,0,1,1,0,1,3,4,34
8,0,0.0,3,30.0,0,0,0,2.99,3.3,2.45,1.75,3.0,1.96,7.73,0.67,0,0,0,0,0,0,1,1,0,1,3,4,37
9,0,0.0,3,30.0,0,0,0,2.97,3.35,0.8,2.81,2.1,2.21,7.12,0.67,0,0,0,0,0,0,1,1,0,1,3,4,10
9,0,0.0,3,30.0,0,0,0,2.9,3.5,2.1,2.65,3.2,1.9,8.13,0.83,0,0,0,0,0,0,1,1,0,1,3,4,38
9,0,0.0,3,30.0,0,0,0,2.36,2.7,2.89,2.36,3.5,1.58,7.7,0.5,0,0,0,0,0,0,1,1,0,1,3,4,39
9,0,0.0,3,30.0,0,0,0,3.19,3.0,2.63,2.99,2.63,2.78,8.61,1.0,0,0,0,0,0,0,1,1,0,1,3,4,52
9,0,0.0,3,30.0,0,0,0,3.08,3.13,2.7,3.08,1.5,3.0,8.25,0.83,0,0,0,0,0,0,1,1,0,1,3,4,44
5,0,0.0,3,30.0,0,0,1,2.35,1.6,2.09,2.64,2.9,1.62,6.7,0.33,0,0,0,0,0,1,1,1,0,1,3,4,6
5,0,0.0,3,30.0,0,0,0,2.18,2.45,1.8,2.74,3.28,2.85,7.7,0.67,0,0,0,0,0,0,1,1,0,1,3,4,22
5,0,0.0,3,30.0,0,0,0,2.62,2.5,1.9,2.46,3.5,1.95,7.5,0.67,0,0,0,0,0,0,1,1,0,1,3,4,51
5,0,0.0,3,30.0,0,0,0,2.97,2.96,2.76,2.94,2.95,2.24,8.4,1.0,0,0,0,0,0,0,1,1,0,1,3,4,7
5,0,0.0,3,30.0,0,0,0,2.49,2.5,2.7,2.8,3.5,2.8,8.4,1.0,0,0,0,0,0,0,1,1,0,1,3,4,23
6,0,0.0,3,30.0,0,0,1,2.34,-1.0,3.4,0.75,-1.0,-1.0,8.0,0.17,0,0,0,0,0,0,1,1,0,1,3,4,6
6,0,0.0,3,30.0,0,0,0,2.63,-1.0,3.3,0.78,-1.0,-1.0,7.8,0.33,0,0,0,0,0,0,1,1,0,1,3,4,24
6,0,0.0,3,30.0,0,0,0,3.04,-1.0,3.5,0.89,-1.0,-1.0,9.4,0.33,0,0,0,0,0,0,1,1,0,1,3,4,25
6,0,0.0,3,30.0,0,0,0,2.75,-1.0,3.02,0.95,-1.0,-1.0,8.6,0.33,0,0,0,0,0,0,1,1,0,1,3,4,26
6,0,0.0,3,30.0,0,0,0,2.78,-1.0,3.1,0.85,-1.0,-1.0,8.1,0.33,0,0,0,0,0,0,1,1,0,1,3,4,27
6,0,0.0,3,30.0,0,0,0,3.15,-1.0,2.83,0.95,-1.0,-1.0,7.8,0.33,0,0,0,0,0,0,1,1,0,1,3,4,29
7,0,0.0,3,30.0,0,0,0,2.91,3.24,2.85,1.84,2.81,2.84,8.25,0.83,0,0,0,0,0,0,1,1,0,1,3,4,8
7,0,0.0,3,30.0,0,0,0,2.55,2.35,2.13,2.52,3.2,2.1,7.43,0.83,0,0,0,0,0,0,1,1,0,1,3,4,1
7,0,0.0,3,30.0,0,0,0,2.64,3.5,2.75,2.56,3.19,2.75,8.7,1.0,0,0,0,0,0,0,1,1,0,1,3,4,30
7,0,0.0,3,30.0,0,0,0,3.42,3.5,1.05,2.53,3.5,3.0,8.5,0.83,0,0,0,0,0,0,1,1,0,1,3,4,31
7,0,0.0,3,30.0,0,0,0,2.91,3.5,2.8,2.62,2.15,2.9,8.44,0.83,0,0,0,0,0,0,1,1,0,1,3,4,33
2,0,10.0,1,20.0,0,0,0,2.0,2.4,3.0,1.94,3.3,2.1,7.37,0.5,0,0,6,0,0,0,2,0,0,0,1,4,12
2,0,10.0,1,20.0,0,0,0,2.87,3.5,2.4,2.25,3.5,2.85,8.69,0.83,0,0,6,0,0,0,2,0,0,0,1,4,47
